id,title,neighborhood,type,price_per_night,price_total_xaf,rating,reviews,occupancy_rate,monthly_revenue,superhost,source,scraped_at
DLA-0277,Chambre privee - New Bell,New Bell,Chambre privee,8500.0,,4.66,146,0.77,196350,False,simulated,2026-06-08T22:46:06.060189
DLA-0278,Chambre privee - Deido,Deido,Chambre privee,21500.0,,4.64,196,0.6,387000,False,simulated,2026-06-08T22:46:06.060198
DLA-0279,Appartement entier - Bonanjo,Bonanjo,Appartement entier,45500.0,,4.26,8,0.57,778050,False,simulated,2026-06-08T22:46:06.060208
DLA-0280,Appartement entier - Bonapriso,Bonapriso,Appartement entier,55000.0,,4.12,166,0.78,1287000,False,simulated,2026-06-08T22:46:06.060218
DLA-0281,Appartement entier - Deido,Deido,Appartement entier,14000.0,,4.31,157,0.72,302400,False,simulated,2026-06-08T22:46:06.060229
DLA-0282,Appartement entier - Bonanjo,Bonanjo,Appartement entier,58500.0,,4.65,120,0.74,1298700,True,simulated,2026-06-08T22:46:06.060241
DLA-0283,Appartement entier - Bonanjo,Bonanjo,Appartement entier,41500.0,,4.16,111,0.68,846600,False,simulated,2026-06-08T22:46:06.060252
DLA-0284,Chambre privee - Bonapriso,Bonapriso,Chambre privee,33000.0,,4.03,156,0.51,504900,False,simulated,2026-06-08T22:46:06.060261
DLA-0285,Appartement entier - Bali,Bali,Appartement entier,40500.0,,4.56,156,0.54,656100,False,simulated,2026-06-08T22:46:06.060270
DLA-0286,Chambre privee - Deido,Deido,Chambre privee,14000.0,,4.22,68,0.6,252000,True,simulated,2026-06-08T22:46:06.060280
DLA-0287,Appartement entier - New Bell,New Bell,Appartement entier,11000.0,,4.2,129,0.68,224400,True,simulated,2026-06-08T22:46:06.060289
DLA-0288,Chambre privee - Bali,Bali,Chambre privee,46500.0,,4.94,17,0.77,1074150,True,simulated,2026-06-08T22:46:06.060298
DLA-0289,Appartement entier - New Bell,New Bell,Appartement entier,14500.0,,4.48,193,0.82,356700,False,simulated,2026-06-08T22:46:06.060310
DLA-0290,Appartement entier - Deido,Deido,Appartement entier,19500.0,,4.25,3,0.5,292500,False,simulated,2026-06-08T22:46:06.060319
DLA-0291,Appartement entier - Akwa,Akwa,Appartement entier,28000.0,,4.64,137,0.84,705600,True,simulated,2026-06-08T22:46:06.060329
DLA-0292,Appartement entier - Makepe,Makepe,Appartement entier,23500.0,,4.08,141,0.58,408900,False,simulated,2026-06-08T22:46:06.060340
DLA-0293,Villa - Makepe,Makepe,Villa,14000.0,,4.22,98,0.81,340200,False,simulated,2026-06-08T22:46:06.060349
DLA-0294,Studio - Bali,Bali,Studio,41000.0,,4.5,119,0.52,639600,False,simulated,2026-06-08T22:46:06.060358
DLA-0295,Appartement entier - Makepe,Makepe,Appartement entier,16500.0,,4.81,91,0.52,257400,True,simulated,2026-06-08T22:46:06.060368
DLA-0296,Chambre privee - Logbessou,Logbessou,Chambre privee,26000.0,,4.13,61,0.81,631800,False,simulated,2026-06-08T22:46:06.060379
DLA-0297,Appartement entier - Akwa,Akwa,Appartement entier,28500.0,,4.11,108,0.48,410400,False,simulated,2026-06-08T22:46:06.060390
DLA-0298,Appartement entier - Deido,Deido,Appartement entier,18000.0,,4.86,118,0.72,388800,True,simulated,2026-06-08T22:46:06.060399
DLA-0299,Appartement entier - Makepe,Makepe,Appartement entier,21000.0,,3.99,156,0.46,289800,False,simulated,2026-06-08T22:46:06.060411
DLA-0300,Studio - Bali,Bali,Studio,37000.0,,4.34,91,0.51,566100,False,simulated,2026-06-08T22:46:06.060420
DLA-0301,Studio - Bonapriso,Bonapriso,Studio,37500.0,,4.0,157,0.49,551250,False,simulated,2026-06-08T22:46:06.060430
DLA-0302,Studio - New Bell,New Bell,Studio,15500.0,,4.53,31,0.62,288300,False,simulated,2026-06-08T22:46:06.060441
DLA-0303,Chambre privee - Logbessou,Logbessou,Chambre privee,30500.0,,4.64,167,0.74,677100,False,simulated,2026-06-08T22:46:06.060450
DLA-0304,Appartement entier - Logbessou,Logbessou,Appartement entier,19000.0,,4.68,157,0.47,267900,False,simulated,2026-06-08T22:46:06.060460
DLA-0305,Appartement entier - Bali,Bali,Appartement entier,45000.0,,4.52,14,0.76,1026000,False,simulated,2026-06-08T22:46:06.060470
DLA-0306,Studio - Bali,Bali,Studio,38500.0,,4.68,192,0.49,565950,False,simulated,2026-06-08T22:46:06.060482
DLA-0307,Appartement entier - Bonapriso,Bonapriso,Appartement entier,31000.0,,4.28,75,0.59,548700,True,simulated,2026-06-08T22:46:06.060491
DLA-0308,Villa - Akwa,Akwa,Villa,38000.0,,4.2,126,0.64,729600,False,simulated,2026-06-08T22:46:06.060502
DLA-0309,Studio - Bonanjo,Bonanjo,Studio,35500.0,,4.87,156,0.77,820050,False,simulated,2026-06-08T22:46:06.060513
DLA-0310,Chambre privee - Deido,Deido,Chambre privee,12500.0,,4.51,170,0.6,225000,True,simulated,2026-06-08T22:46:06.060523
DLA-0311,Chambre privee - New Bell,New Bell,Chambre privee,8000.0,,4.73,14,0.55,132000,False,simulated,2026-06-08T22:46:06.060532
